,time to catastrophe (s),labeled
0,470.0,True
1,1415.0,True
2,130.0,True
3,280.0,True
4,550.0,True
5,65.0,True
6,330.0,True
7,325.0,True
8,340.0,True
9,95.0,True
10,55.0,True
11,360.0,True
12,220.0,True
13,225.0,True
14,320.0,True
15,60.0,True
16,210.0,True
17,155.0,True
18,875.0,True
19,1000.0,True
20,475.0,True
21,295.0,True
22,245.0,True
23,415.0,True
24,305.0,True
25,320.0,True
26,370.0,True
27,505.0,True
28,1180.0,True
29,440.0,True
30,620.0,True
31,140.0,True
32,180.0,True
33,675.0,True
34,65.0,True
35,270.0,True
36,150.0,True
37,560.0,True
38,545.0,True
39,330.0,True
40,390.0,True
41,75.0,True
42,650.0,True
43,635.0,True
44,540.0,True
45,305.0,True
46,575.0,True
47,670.0,True
48,585.0,True
49,625.0,True
50,820.0,True
51,435.0,True
52,635.0,True
53,105.0,True
54,95.0,True
55,255.0,True
56,500.0,True
57,120.0,True
58,270.0,True
59,130.0,True
60,490.0,True
61,525.0,True
62,735.0,True
63,370.0,True
64,340.0,True
65,605.0,True
66,245.0,True
67,255.0,True
68,530.0,True
69,225.0,True
70,280.0,True
71,745.0,True
72,340.0,True
73,205.0,True
74,245.0,True
75,135.0,True
76,910.0,True
77,340.0,True
78,115.0,True
79,180.0,True
80,240.0,True
81,850.0,True
82,185.0,True
83,390.0,True
84,180.0,True
85,525.0,True
86,235.0,True
87,105.0,True
88,290.0,True
89,380.0,True
90,280.0,True
91,660.0,True
92,640.0,True
93,770.0,True
94,860.0,True
95,290.0,True
96,190.0,True
97,345.0,True
98,585.0,True
99,440.0,True
100,640.0,True
101,835.0,True
102,290.0,True
103,380.0,True
104,395.0,True
105,185.0,True
106,490.0,True
107,270.0,True
108,860.0,True
109,425.0,True
110,445.0,True
111,340.0,True
112,135.0,True
113,745.0,True
114,980.0,True
115,600.0,True
116,1010.0,True
117,955.0,True
118,155.0,True
119,385.0,True
120,385.0,True
121,140.0,True
122,420.0,True
123,600.0,True
124,800.0,True
125,410.0,True
126,250.0,True
127,185.0,True
128,800.0,True
129,885.0,True
130,885.0,True
131,520.0,True
132,345.0,True
133,135.0,True
134,415.0,True
135,665.0,True
136,220.0,True
137,395.0,True
138,155.0,True
139,325.0,True
140,550.0,True
141,360.0,True
142,400.0,True
143,190.0,True
144,535.0,True
145,285.0,True
146,170.0,True
147,400.0,True
148,290.0,True
149,1385.0,True
150,770.0,True
151,500.0,True
152,200.0,True
153,500.0,True
154,260.0,True
155,1730.0,True
156,210.0,True
157,595.0,True
158,275.0,True
159,510.0,True
160,1425.0,True
161,640.0,True
162,200.0,True
163,120.0,True
164,540.0,True
165,365.0,True
166,280.0,True
167,170.0,True
168,100.0,True
169,190.0,True
170,1530.0,True
171,120.0,True
172,1105.0,True
173,80.0,True
174,225.0,True
175,710.0,True
176,890.0,True
177,680.0,True
178,285.0,True
179,195.0,True
180,650.0,True
181,350.0,True
182,155.0,True
183,1095.0,True
184,465.0,True
185,215.0,True
186,365.0,True
187,605.0,True
188,520.0,True
189,280.0,True
190,610.0,True
191,765.0,True
192,290.0,True
193,240.0,True
194,180.0,True
195,225.0,True
196,1030.0,True
197,155.0,True
198,215.0,True
199,705.0,True
200,285.0,True
201,135.0,True
202,465.0,True
203,80.0,True
204,370.0,True
205,480.0,True
206,195.0,True
207,705.0,True
208,300.0,True
209,605.0,True
210,600.0,True
211,355.0,False
212,425.0,False
213,540.0,False
214,265.0,False
215,1815.0,False
216,160.0,False
217,370.0,False
218,460.0,False
219,190.0,False
220,130.0,False
221,460.0,False
222,140.0,False
223,295.0,False
224,445.0,False
225,210.0,False
226,360.0,False
227,575.0,False
228,320.0,False
229,180.0,False
230,180.0,False
231,615.0,False
232,145.0,False
233,870.0,False
234,420.0,False
235,460.0,False
236,265.0,False
237,150.0,False
238,770.0,False
239,75.0,False
240,40.0,False
241,245.0,False
242,765.0,False
243,330.0,False
244,305.0,False
245,405.0,False
246,280.0,False
247,180.0,False
248,355.0,False
249,380.0,False
250,395.0,False
251,410.0,False
252,670.0,False
253,235.0,False
254,155.0,False
255,525.0,False
256,135.0,False
257,1110.0,False
258,60.0,False
259,600.0,False
260,420.0,False
261,125.0,False
262,510.0,False
263,750.0,False
264,505.0,False
265,400.0,False
266,405.0,False
267,250.0,False
268,445.0,False
269,495.0,False
270,130.0,False
271,490.0,False
272,85.0,False
273,235.0,False
274,85.0,False
275,335.0,False
276,160.0,False
277,170.0,False
278,700.0,False
279,695.0,False
280,415.0,False
281,305.0,False
282,145.0,False
283,350.0,False
284,640.0,False
285,165.0,False
286,370.0,False
287,525.0,False
288,950.0,False
289,125.0,False
290,1255.0,False
291,155.0,False
292,735.0,False
293,215.0,False
294,195.0,False
295,660.0,False
296,80.0,False
297,235.0,False
298,500.0,False
299,1145.0,False
300,540.0,False
301,180.0,False
302,145.0,False
303,745.0,False
304,390.0,False
305,1410.0,False
